EmployeeID,First_name,Last_name,Position,Hire_date
1001,Justine,Reyes,Finance Officer,09/07/2015
1002,Andres,Cruz,Finance Officer,11/05/2016
1003,Angelo,Mendoza,Sales Associate,30/06/2016
1004,Trishia,Torres,Finance Officer,29/05/2018
1005,Maria,Lopez,Sales Associate,17/09/2018
1006,Ana,Del Rosario,Sales Associate,19/09/2018
1007,Kervin,Dela Cruz,Finance Officer,29/11/2019
1008,Carlos,Bautista,Finance Officer,10/12/2019
1009,Luz,Flores,Sales Associate,05/08/2020
1010,Jayson,Santos,Sales Associate,23/10/2023
1011,Juan,Garcia,Sales Associate,10/01/2024
